####### 2022/06/22 ~ 2025/05/30 #######
# 僅移除重複字串
# https://www.facebook.com/groups/1141798046611751/user/100001471821039/
香港Web3.0 m.qgqhbv.cc
Meta Support accesstoaccountscentars.xyz
CoinTrade xcoingate-exchange.com
love情人 www.52sai.com
Pabelae wcth0509.463665.cn
MAXCOIN es.maxcoi.vip
拼夕夕 pinxixi77.cc
tiktokppp tiktokppp.azureedge.net
VADSHOP www.vadshop.top
數字地球 ecologyo.com
bindo www.bindo.xyz
proommee www.proommee.com
創意繪game b4.wmjgblcxzsy4.top
GDEX www.gdexzsn.vip
MIX wap.mixcrypto.top
HKDAEX zghk267878ex.com
職員專區 hydrogenol.com
danawa Online Shopping ft.danawa.it.com
Balmy www.balmyezo.com
職員專區 hydrogeniy.com
BitcoinCash bit-coins-cash.icu
D交易所 h5.draymexztq.cc
大遠百 www.fedsanniversary58.com
宏和 app.ktrury.com
臺聯國際 www.tktwdr.com
WorldPay www.worldpayxxtradin.com
Surfshark Dex surfsharkdexs.com
高晟 m.exgoldc.com
台德投資 app.ptuers.com
鑫鴻國際 www.twdske.com
夢想家 aa.qonsbd.com
AliExpress r1v.vbis4.top
WEEX weex.biz
永豐金證券 www.hsdutw.com
Celestia www.celestiiaa.com
FRG frgen.com
東森購物 wapapp.shereach.com
富善達 www.ienisd.com
家居 tw29.yesckk.com
Kraken download.kranken-pro.co
天籟 www.qyzbnd.com
BITCOINTRUST www.bitcointrusted.top
DATA+ www.perfectprofession.xyz
UG SHOP web.doscaer.com
OANDA www.oamdetq.com
Pendle www.pendletqz.com
GNS www.gnstvz.com
Pocnhie www.pacuniahpacuniah.com
BtLux www.bluxtad.vip
CGSI www.cgsisd.vip
MEGFALY wap.megfalyops.com
Coinplug www.coinpluuga.com
巨富達 zdhbfd.com
SMR www.salmoraaexchange.com
DAISO daisojapank.com
TCWES www.tcwes.com
竣達金融 www.hjkyjy.com
Tier1FX pc.tier1fxvip.cc
TikTok tk-appdownloads.sbs
TK-Store tkstoremall1.top
GrabWFH deg.baby
DAOX www.daoxcryptoweb3.tw
UPS www.creaditsobsell.com
夜色俱樂部 www.qrjjdn.com
KuCoin www.kucoimrgh.com
BingX bingmov.com
AI Public aipublicglobalcc.com
Yusy-hdu 1-20.zfjsbj.sbs
News newsmarketltd.com
Bitget www.bitbvo.com
ZBTCEX www.zbtcexwkz.com
OUSD www.ousdjlj.com
上海期貨交易所 www.shefou01.vip
Glimmer Sphere glimmersphere.com
Shop購物網 www.hketoll-hk-etc.vip
泰翔PLUS app.fteuts.com
Yvonnevo h5.yvonnevo.vip
Mall atheemart.top
義理德 www.yilidedowloko.com
Maxcybavo www.maxcybavo-tradingx.top
ZVRYE www.zvrye.com
Megabit www.megabitqtp.com
CASINODEMONTREAL www.casinodemonrl.top
MEXEM memxchange.com
Money www.money-sg.cfd
樂天pro app.tuedru.com
MOXM marketsexchangen.com
B2C2 down.b2c2w.top
MRVN mrvnmr.com
Front ai-trustba.cc
MSEMCS www.msemcs.vip
Best Buy www.bestbuyn1.com
NEARTW m.neartw.top
Amazon www.amazon080.com
泉元國際 www.dfijnf.com
N交易所 anotheow.com
聯元 www.keuwse.com
OTC osljt.cc
Zamakan www.zanskarrra.com
Bicoin mu3is6.cc
CIC股掌櫃 app.purtdx.com
ClaytonMarkets www.claytonmskcrm.com
中國航天 hat.zghtian.cn
CoinBase www.qcdsk.top
GloxTcdoe www.gloxtcdoee.com
Coinhub m.wcoinhud.com
GRGC lapyy.top
金沙中國 www.jinsha.cfd
IChannels ichannelss.com
Quantum thatrich.metasafefive.online
imToken imtoke.shop
JCP www.jcpmall.top
Crypto www.royal-bit.com
KADDEX fsaejt.jfbdesa.com/imcipw
Rolex mp.rolaxetf.cfd
KAVA btc.kavadifia.com
順鑫國際 app.lfster.com
C交易所 cargotypep.com
誠靜投資 www.cc-invest.tw
BVI Finance bvifinanceinve.net
諧永投資 tw.fdsilij.com
500IBT app.500ibt.com
LSG lsbvip.xyz
Solana www.solanaapei.com
SOLAR www.x188.cyou
AirCash aircashtrade.shop
ZEUS zeeusweb.com
TEMU www.hfxhc.com
Bitwasabi www.bitwasabiwbo.com
Tesla teslaautopartee.com
中國石化 zhongshihua828.com
THEWORD thewordc.shop
天玉投資 www.iwhbh.com
DEFI WEB3.0 dexweb-defi.com
永國 www.teudtw.com
玄穹園 www.syuan-cyong.com
Blaze Trading www.wealth-fire.xin
TMGM home.tesndma.com
行遠投資 www.xingyuaninvestment.com
BLCYT www.blcyt.com
初遇 www.qkdnfs.com
和瑋投資 www.qcsdvs.com
TRUST www.trustuzy.com
HFM hfmextop.com
TrustGain dnf8qp5ds93ne.cloudfront.net/4hon7b
金玉峰證券 app.streue.com
TurboLogicBit EX www.turbologicbitexe.com
金準國際 app.downjizhunnitklo.com
青石板證券 app.ndsreu.com
IG www.groupigtiu.com
DXY dxymarket.com
盈瑞證券 www.cbrth.com
Verasity www.verasitybe.com
振華 www.twklsoz.com
Vesper www.vesperklgi.com
AaelExChange www.aaelexchangex.com
國際娛樂城 wap.wns4489.xyz
VTFE www.vtfe-tw.com
惠達國際 www.ajijf.com
EDGE edge.edgezl.com
無人機 crown.edgezs.com
WeakThswap web.weakthswap.com
BtradeX bit-tradexchange.com
Web3.0 web3.saivgdrc.top
Websea www.websegp.vip
新葡京娛樂城 www.suosfyi.top
萬聯證券 wq2672.top
Wholesale shop-mall-fb.shop
Buyippee內部營銷平臺 www.kxplttk.com
WoodenCoin jcoinvips.com
網速測試平台 fastvj.com
數位雲端 www.tpxzos.com
LAN DING www.landingcs.mom
YOC yomaicon.com
LTB www.ltbfsk.vip
FCALSEG pc.fcalsegfx.com
Rakuten樂天商城 rakutenmershonts.com
3737虛寶交易網 www.3737.tw
HerMo www.hroworldstar.com
当当 dangdangtop.com
小貸與你同在 congimian.sbs
共伴時光 spendstimetogether.com
FBS fbstw.cc
chaosnes chaosnes.com
Pabelne pabelne.com
Aifeex h5.aifeex.com
asos-tkkmls www.asos-tkkmls.com
adodx–tool h5.adodx.site
MTX www.mtxexc.com
Tiia globa www.tiiagloba.cc
Bitun bitunmaxtw.pro
Crypto Cove cryptocovemax.com
FCX www.fcxpromax.com
TKO www.tkomrsxtn.com
OKX okxwd8h.com
HKEX香港交易所 www.hke-xpro.net
WEB 3.0 web3.gayercwe.today
WEB 3.0 web3.weiopfghv.top
Octaprofitcap octaprofitcap.live
Alley alleystar.com
Alley alleyspace.com
Met C0lm Exchange ygnynzgc.top
BigVie Exchange www.bijsi.com
澳门星际国际 h5.uggames.xyz
Bitget www.bitgettw.com
Triangular dcgtriangle.com
JE资本 www.je90.com
香港WEB 3.0 m.qgqhbv.cc
FoxyPay foxypay.com
欧华律师事务所 www.ouhuajustice.com
Arctic Inc arcticinc.net
Pathway Credit Union pathwaycreditunion.com
Blockchain Finance www.bqov.com
LeadwayTrade leadwaytrade.com
TrueCommerce truecommerce.monster
TrueCommerce truecommerce.fun
HF-Market t-hf.com
POYA www.poyabuyisrw.com
TikTok www.asosss-tkkp.com
Tradivio wap.tradiviovvo.cc
bete-dex bete-dex.today
Celestia www.celestiia.com
Crze cryzeneq.com
POYA www.poyabuyinc.com
imToken imtoke.qpon
BitCoit www.bitcoittw.com
YPLW www.yplw-win.com
全方位智能策略 chaosnrx.com
GRGC grtrade.pro
Gold www.twxauxjpsn.com
QUANTUM thatrich.quantainvestone.online
Zanskar zanskarzanskar.com
同安自營商 www.twdust.com
BitcoinCash bit-coin-cash.xyz
D交易所 h5.apoiztq.cc
Shopify wh.probesvimbuy.site
Amazon go-amazo.shop
Gate.io gate.iomgf.com
Coinplug coinpluga.com
尋歡 aayy32.cc
TM SHOP temuapp.vip
BitFinex bittfinexslife.shop
福瑞 www.thlor.com
MEGFALY app.ioyrzqwe.cc
SHEIN www.merchantside.net
